Exercise,Calories Burn,Weight,Age,Gender,Duration,BMI
Cycling,106.3125,81.0,59,Female,10,34.28761552492435
Push-ups,330.75,94.5,60,Male,25,30.61175899702273
High Knees,431.256,60.4,51,Female,48,18.78781865026942
Cycling,162.30375,68.7,29,Female,18,29.005442636987382
Cycling,458.42999999999995,59.2,36,Male,59,18.747650605862635
Swimming,428.50989999999996,80.6,53,Male,31,24.684181818905692
Push-ups,192.41600000000003,85.9,36,Female,16,26.95980352925484
Push-ups,296.352,50.4,60,Male,42,16.4008631279635
Lunges,58.044,69.1,44,Female,8,22.13119925798028
Jumping Jacks,607.8240000000001,80.4,49,Female,54,24.622930747394765
Push-ups,470.6240000000001,76.4,26,Female,44,28.89696793646904
Push-ups,412.384,52.6,59,Male,56,17.01954724121552
Burpees,914.515,90.1,30,Female,58,26.071499568416854
Squats,421.9425,84.6,38,Male,57,30.84961142617097
Sit-ups,78.876,62.6,20,Female,12,21.483611539238996
Sit-ups,176.1795,79.9,22,Male,21,34.35635581832842
Running,351.624,72.8,42,Female,24,27.36676464319265
Skipping,752.492475,81.3,46,Female,43,24.734033086408783
Cycling,540.421875,91.5,54,Male,45,30.96487567856225
Burpees,642.6,61.2,39,Female,60,21.813321452439297
Swimming,270.11250000000007,52.5,48,Female,30,18.490961441942783
Jumping Jacks,187.74000000000004,89.4,38,Female,15,33.32036299069266
Cycling,304.05375000000004,89.1,58,Female,26,25.20937075599819
Sit-ups,234.14999999999998,89.2,53,Male,25,24.997751043137654
Push-ups,216.72000000000003,77.4,46,Female,20,32.133462642151144
Cycling,276.675,52.7,47,Male,40,18.321411089355646
Skipping,263.8104,76.6,41,Female,16,23.023911203447213
Push-ups,418.88,68.0,52,Female,44,22.460034350640772
Squats,140.33249999999998,89.1,24,Male,18,38.41297090918026
Squats,295.25124999999997,82.3,59,Male,41,30.302985672542174
High Knees,71.01325,68.2,47,Male,7,25.73212032671492
High Knees,633.065125,80.3,30,Female,53,24.295608878819674
High Knees,130.75125000000003,58.6,44,Male,15,24.805608268648975
Cycling,410.76,97.8,30,Male,32,38.63656385837842
Jumping Jacks,458.304,99.2,41,Female,33,42.3215232676653
Squats,146.6325,79.8,20,Male,21,31.24995104957542
Swimming,303.72650000000004,50.6,38,Female,35,14.301214670559084
